,lat,lon,months_open,num_items_sold,state_pop
500,33.216505,-87.562871,12,20,4849377.0
501,33.219446,-87.591044,8,13,4849377.0
502,33.222386,-92.665108,7,8,2966369.0
503,33.227677,-111.872331,8,0,6731484.0
504,33.232552,-117.142839,12,16,38802500.0
505,33.243691,-81.376116,6,20,4832482.0
506,33.255362,-85.451892,4,8,4849377.0
507,33.275534,-88.093797,12,4,4849377.0
508,33.303481,-111.841643,8,15,6731484.0
509,33.315079,-81.144272,5,3,4832482.0
510,33.318615,-91.292967,5,6,2966369.0
511,33.321658,-111.726215,12,12,6731484.0
512,33.324751,-96.786985,9,18,26956958.0
513,33.331331,-111.983242,4,17,6731484.0
514,33.331407,-105.590965,4,9,2085572.0
515,33.352917,-112.429459,8,13,6731484.0
516,33.354533,-111.79127,7,26,6731484.0
517,33.357255,-86.808493,4,11,4849377.0
518,33.359961,-79.276485,7,5,4832482.0
519,33.363886,-80.191506,5,5,4832482.0
520,33.366209,-79.281783,6,17,4832482.0
521,33.373082,-86.990644,4,5,4849377.0
522,33.376724,-112.067921,12,5,6731484.0
523,33.380738,-81.379214,6,13,4832482.0
524,33.381644,-117.251115,12,12,38802500.0
525,33.383472,-86.733778,4,15,4849377.0
526,33.396034,-110.788406,4,16,6731484.0
527,33.396694,-104.521394,4,0,2085572.0
528,33.401018,-84.586675,12,27,10097343.0
529,33.40113,-86.95137,4,9,4849377.0
530,33.408768,-111.94827,8,15,6731484.0
531,33.4089,-91.0562,4,7,2994079.0
532,33.415614,-111.830862,9,20,6731484.0
533,33.420534,-112.542181,1,3,6731484.0
534,33.421527,-94.045817,6,14,26956958.0
535,33.423574,-83.268173,5,15,10097343.0
536,33.43593,-111.943308,7,19,6731484.0
537,33.450034,-86.730085,4,18,4849377.0
538,33.452713,-79.12257,7,8,4832482.0
539,33.456003,-112.07314,6,26,6731484.0
540,33.456043,-90.632722,4,5,2994079.0
541,33.458307,-112.073453,6,8,6731484.0
542,33.460315,-112.461186,12,19,6731484.0
543,33.462514,-81.964125,12,12,10097343.0
544,33.462861,-88.814166,4,16,2994079.0
545,33.479731,-112.201398,12,2,6731484.0
546,33.480175,-86.790909,4,19,4849377.0
547,33.482525,-112.361037,8,14,6731484.0
548,33.485053,-81.995824,9,10,10097343.0
549,33.491697,-111.92509,8,25,6731484.0
550,33.495874,-112.514122,7,23,6731484.0
551,33.495965,-117.151107,12,22,38802500.0
552,33.500574,-117.662208,12,17,38802500.0
553,33.5057,-86.8035,3,5,4849377.0
554,33.509321,-102.009305,5,17,26956958.0
555,33.516223,-86.791298,12,24,4849377.0
556,33.519703,-102.01633,12,19,26956958.0
557,33.522637,-112.07102,7,22,6731484.0
558,33.523023,-84.35702,5,7,10097343.0
559,33.528187,-80.838621,5,2,4832482.0
560,33.54057,-86.83628,12,7,4849377.0
561,33.542599,-112.18619,8,15,6731484.0
562,33.544917,-117.781678,12,18,38802500.0
563,33.54512,-86.54514,3,9,4849377.0
564,33.545383,-105.573184,4,0,2085572.0
565,33.546518,-82.132862,8,20,10097343.0
566,33.548016,-101.917533,12,19,26956958.0
567,33.549118,-96.9111,12,7,26956958.0
568,33.557334,-97.85003,12,0,26956958.0
569,33.560554,-84.755446,8,15,10097343.0
570,33.5615,-86.7246,6,11,4849377.0
571,33.565282,-112.134509,5,18,6731484.0
572,33.566045,-117.212105,12,19,38802500.0
573,33.566788,-84.582082,3,14,10097343.0
574,33.568865,-117.708279,12,14,38802500.0
575,33.571347,-85.07274,12,19,10097343.0
576,33.57785,-101.8364,4,5,26956958.0
577,33.578343,-101.99615,7,21,26956958.0
578,33.582474,-111.892551,12,4,6731484.0
579,33.586015,-88.658227,4,12,2994079.0
580,33.597361,-112.006653,8,24,6731484.0
581,33.606962,-78.974364,6,22,4832482.0
582,33.608279,-117.928642,1,14,38802500.0
583,33.608951,-117.704869,12,19,38802500.0
584,33.633188,-117.831346,12,25,38802500.0
585,33.634933,-112.273728,8,20,6731484.0
586,33.647452,-86.810407,5,5,4849377.0
587,33.655421,-112.360606,8,0,6731484.0
588,33.657181,-118.001986,12,11,38802500.0
589,33.657897,-95.557366,6,14,26956958.0
590,33.658197,-112.265596,7,17,6731484.0
591,33.661496,-112.187018,3,14,6731484.0
592,33.665242,-117.749066,12,16,38802500.0
593,33.665563,-117.906013,12,19,38802500.0
594,33.666336,-101.611862,12,5,26956958.0
595,33.666702,-85.831171,12,7,4849377.0
596,33.667057,-93.592601,5,10,2966369.0
597,33.669934,-78.939009,4,17,4832482.0
598,33.67749,-116.302435,8,17,38802500.0
599,33.680029,-84.441926,12,18,10097343.0
600,33.683068,-112.342222,8,12,6731484.0
601,33.685606,-112.344487,8,0,6731484.0
602,33.687152,-80.211023,6,9,4832482.0
603,33.710775,-117.190937,12,12,38802500.0
604,33.710866,-84.108364,4,21,10097343.0
605,33.72152,-85.145957,6,16,10097343.0
606,33.723677,-116.400311,7,18,38802500.0
607,33.738679,-84.344531,8,18,10097343.0
608,33.738909,-84.373629,12,21,10097343.0
609,33.74268,-90.72057,8,14,2994079.0
610,33.743241,-117.823466,12,17,38802500.0
611,33.743493,-84.73059,8,18,10097343.0
612,33.744067,-112.335718,8,0,6731484.0
613,33.744136,-90.724018,8,14,2994079.0
614,33.746286,-117.86917,12,15,38802500.0
615,33.749374,-116.970574,12,11,38802500.0
616,33.750977,-84.310406,7,27,10097343.0
617,33.753475,-84.39296,6,4,10097343.0
618,33.75553,-118.1116,12,21,38802500.0
619,33.755828,-96.54535,7,13,26956958.0
620,33.760172,-78.960102,6,18,4832482.0
621,33.76759,-84.35682,10,23,10097343.0
622,33.770351,-118.194516,12,14,38802500.0
623,33.772429,-84.364596,8,12,10097343.0
624,33.775,-93.6829,5,12,2966369.0
625,33.778805,-84.296924,9,16,10097343.0
626,33.779336,-118.373725,12,20,38802500.0
627,33.784257,-84.378551,10,19,10097343.0
628,33.784793,-89.802863,4,11,2994079.0
629,33.790081,-118.293738,12,12,38802500.0
630,33.791508,-117.85635,12,16,38802500.0
631,33.792144,-84.323671,12,12,10097343.0
632,33.7922,-89.8376,12,7,2994079.0
633,33.794333,-83.712226,6,22,10097343.0
634,33.7963,-83.712,6,7,10097343.0
635,33.798711,-117.758774,12,15,38802500.0
636,33.805672,-84.239409,8,17,10097343.0
637,33.807084,-84.170625,8,15,10097343.0
638,33.813512,-85.760351,7,14,4849377.0
639,33.820181,-116.520945,12,19,38802500.0
640,33.824344,-117.998416,6,10,38802500.0
641,33.824668,-111.921788,8,20,6731484.0
642,33.824945,-118.328444,12,16,38802500.0
643,33.825924,-84.575373,4,9,10097343.0
644,33.827655,-78.683173,6,19,4832482.0
645,33.831906,-84.386034,9,22,10097343.0
646,33.83231,-117.912324,6,12,38802500.0
647,33.833931,-117.915454,12,15,38802500.0
648,33.834283,-79.04698,6,18,4832482.0
649,33.836486,-118.389509,12,17,38802500.0
650,33.836936,-84.314067,11,22,10097343.0
651,33.842291,-118.184678,12,10,38802500.0
652,33.850611,-84.494079,7,8,10097343.0
653,33.852659,-117.844815,12,9,38802500.0
654,33.852829,-118.14222,12,21,38802500.0
655,33.853283,-84.214282,9,17,10097343.0
656,33.858021,-84.016057,4,20,10097343.0
657,33.859596,-84.081967,3,22,10097343.0
658,33.860129,-84.334721,9,20,10097343.0
659,33.861972,-118.401347,12,13,38802500.0
660,33.862475,-83.408395,5,16,10097343.0
661,33.862997,-112.136313,8,20,6731484.0
662,33.863503,-83.409775,8,17,10097343.0
663,33.867565,-87.266542,6,10,4849377.0
664,33.869022,-83.111168,12,16,10097343.0
665,33.870752,-79.754055,8,15,4832482.0
666,33.872124,-78.611249,6,19,4832482.0
667,33.883265,-84.515507,5,13,10097343.0
668,33.886153,-117.56526,12,14,38802500.0
669,33.8869,-118.409,9,12,38802500.0
670,33.891775,-118.151223,12,13,38802500.0
671,33.893189,-83.957974,7,18,10097343.0
672,33.897917,-118.223973,6,10,38802500.0
673,33.8982,-118.354,11,8,38802500.0
674,33.902728,-81.064382,12,14,4832482.0
675,33.903579,-81.060719,8,22,4832482.0
676,33.904379,-81.065255,5,13,4832482.0
677,33.909747,-117.457836,12,23,38802500.0
678,33.913202,-98.489776,4,1,26956958.0
679,33.913521,-98.489528,6,13,26956958.0
680,33.913762,-81.524422,7,13,4832482.0
681,33.9176,-78.0178,5,13,9943964.0
682,33.923533,-118.243583,12,6,38802500.0
683,33.924897,-116.889524,6,10,38802500.0
684,33.932479,-80.373,8,17,4832482.0
685,33.934596,-84.725959,8,15,10097343.0
686,33.934719,-84.725871,2,15,10097343.0
687,33.941514,-84.211959,3,19,10097343.0
688,33.942098,-118.184745,12,13,38802500.0
689,33.9426,-93.8451,6,2,2966369.0
690,33.944319,-86.47024,5,11,4849377.0
691,33.946591,-117.4162,12,17,38802500.0
692,33.95226,-83.396828,9,17,10097343.0
693,33.953194,-84.549494,12,23,10097343.0
694,33.956318,-83.383849,12,18,10097343.0
695,33.956426,-83.987275,4,10,10097343.0
696,33.957828,-85.934714,4,3,4849377.0
697,33.959088,-83.380247,8,10,10097343.0
698,33.959569,-83.376055,7,12,10097343.0
699,33.959726,-92.191917,4,9,2966369.0
