,state,lon,lat,months_open,num_items_sold,state_pop,name
338,Texas,31.993215,-102.092413,7.0,17.0,26956958.0,
339,New Mexico,32.001493,-106.376996,5.0,4.0,2085572.0,
340,Georgia,32.022129,-80.965299,4.0,21.0,10097343.0,
341,Georgia,32.06498,-81.09717,12.0,18.0,10097343.0,
342,Georgia,32.072463,-84.236501,3.0,11.0,10097343.0,
343,Georgia,32.07741,-82.896739,12.0,9.0,10097343.0,
344,Arizona,32.127833,-110.723595,12.0,17.0,6731484.0,
345,Georgia,32.130564,-81.263666,10.0,17.0,10097343.0,
346,South Carolina,32.131024,-80.801225,9.0,15.0,4832482.0,
347,South Carolina,32.187698,-80.718946,3.0,15.0,4832482.0,
348,Arizona,32.188882,-110.92521,12.0,9.0,6731484.0,
349,Georgia,32.201081,-83.176423,12.0,15.0,10097343.0,
350,Arizona,32.219902,-110.985706,7.0,21.0,6731484.0,
351,Arizona,32.232565,-110.952241,4.0,25.0,6731484.0,
352,South Carolina,32.234811,-80.862568,12.0,18.0,4832482.0,
353,Arizona,32.240123,-110.946013,12.0,26.0,6731484.0,
354,Arizona,32.247147,-110.853253,12.0,16.0,6731484.0,
355,Arizona,32.247165,-110.853261,8.0,17.0,6731484.0,
356,Georgia,32.280896,-83.475289,1.0,11.0,10097343.0,
357,Georgia,32.2815,-83.4737,12.0,0.0,10097343.0,
358,Arizona,32.285614,-110.942889,8.0,24.0,6731484.0,
359,Arizona,32.28843,-110.953409,8.0,21.0,6731484.0,
360,New Mexico,32.296873,-106.772518,3.0,2.0,2085572.0,
361,Mississippi,32.302899,-90.176134,6.0,17.0,2994079.0,
362,Mississippi,32.303101,-90.176081,11.0,22.0,2994079.0,
363,New Mexico,32.310136,-106.778792,12.0,20.0,2085572.0,
364,Arizona,32.319209,-111.009413,12.0,11.0,6731484.0,
365,Texas,32.327575,-96.628311,7.0,14.0,26956958.0,
366,Mississippi,32.339662,-90.330586,3.0,12.0,2994079.0,
367,Texas,32.339893,-97.407713,7.0,16.0,26956958.0,
368,Texas,32.344227,-95.324795,3.0,11.0,26956958.0,
369,Mississippi,32.352739,-90.881717,3.0,9.0,2994079.0,
370,Alabama,32.359808,-86.164634,4.0,17.0,4849377.0,
371,Mississippi,32.367615,-90.192756,3.0,6.0,2994079.0,
372,Arizona,32.372631,-112.862288,6.0,19.0,6731484.0,
373,Texas,32.383265,-96.850103,7.0,18.0,26956958.0,
374,Alabama,32.404223,-87.039345,6.0,8.0,4849377.0,
375,Arizona,32.406007,-110.950394,4.0,18.0,6731484.0,
376,New Mexico,32.420235,-104.228454,4.0,6.0,2085572.0,
377,Alabama,32.425706,-85.693445,6.0,7.0,4849377.0,
378,South Carolina,32.433759,-80.679578,6.0,3.0,4832482.0,
379,Louisiana,32.443907,-93.974454,3.0,16.0,4649676.0,
380,Georgia,32.448625,-81.782923,8.0,16.0,10097343.0,
381,Arizona,32.45092,-111.212487,12.0,8.0,6731484.0,
382,Georgia,32.46025,-83.731889,5.0,7.0,10097343.0,
383,Mississippi,32.461809,-90.115364,5.0,11.0,2994079.0,
